ticker,wiki_code
NWSA,Q185278
NXPI,Q1155668
O,Q7301386
ODFL,Q7083862
OKE,Q11074156
OMC,Q1519267
ON,Q1671509
ORCL,Q19900
ORLY,Q7071951
OXY,Q2013357
PARA,Q76846862
PAYC,Q17084959
PAYX,Q946080
PCAR,Q1477661
PCG,Q1815011
PEAK,Q16975567
PEG,Q930919
PEP,Q334800
PFE,Q206921
PFG,Q3403513
PG,Q212405
PGR,Q7248721
PH,Q1470619
PHM,Q7259716
PKG,Q16983334
PKI,Q2066858
PLD,Q16983765
PM,Q1852556
PNC,Q38928
PNR,Q7165001
PNW,Q26110522
POOL,Q96100570
PPG,Q48754
PPL,Q2044512
PRU,Q1374135
PSA,Q1156045
PSX,Q1656230
PTC,Q1760641
PWR,Q7268886
PXD,Q4046987
PYPL,Q483959
QCOM,Q544847
QRVO,Q18169198
RCL,Q427881
RE,Q2982355
REG,Q7308000
REGN,Q7308054
RF,Q917131
RHI,Q2157448
RJF,Q7298901
RL,Q1641437
RMD,Q29123786
ROK,Q1348664
ROL,Q7361273
ROP,Q16932392
ROST,Q3442791
RSG,Q7314415
RTX,Q89368734
SBAC,Q7388926
SBNY,Q24204571
SBUX,Q37158
SCHW,Q1066028
SEDG,Q187212
SEE,Q7440621
SHW,Q48881
SIVB,Q111839764
SJM,Q7742790
SLB,Q1425316
SNA,Q1631922
SNPS,Q2303478
SO,Q2304693
SPG,Q2287759
SPGI,Q868587
SRE,Q7449804
STE,Q80947821
STT,Q2037125
STX,Q705392
STZ,Q1128160
SWK,Q706094
SWKS,Q7538146
SYF,Q18387139
SYK,Q2357515
SYY,Q2376711
T,Q35476
TAP,Q3319685
TDG,Q7833612
TDY,Q7696127
TECH,Q19873469
TEL,Q845632
TER,Q2404292
TFC,Q795486
TFX,Q7696143
TGT,Q1046951
TJX,Q1285819
TMO,Q643674
TMUS,Q3511885
TPR,Q56273715
TRGP,Q7685824
TRMB,Q17079979
TROW,Q3511946
TRV,Q942471
TSCO,Q487494
TSLA,Q478214
TSN,Q1325987
TT,Q1663044
TTWO,Q94933
TXN,Q193412
TXT,Q2140315
TYL,Q48802335
UAL,Q871700
UDR,Q27988153
UHS,Q7893967
ULTA,Q7880076
UNH,Q2103926
UNP,Q20183163
UPS,Q155026
URI,Q7889101
USB,Q739084
V,Q328840
VFC,Q457960
VLO,Q1283291
VMC,Q1685287
VNO,Q368181
VRSK,Q7921370
VRSN,Q734338
VRTX,Q2744099
VTR,Q19865761
VTRS,Q101983981
VZ,Q467752
WAB,Q741707
WAT,Q1322011
WBA,Q22909732
WBD,Q107074885
WDC,Q2036076
WEC,Q8027166
WELL,Q20486917
WFC,Q744149
WHR,Q1471346
WM,Q2552219
WMB,Q930639
WMT,Q483551
WRB,Q1369955
WRK,Q21016487
WST,Q1660662
WTW,Q21189883
WY,Q1780382
WYNN,Q2274089
XEL,Q1486956
XOM,Q156238
XRAY,Q23781052
XYL,Q3146975
YUM,Q668737
ZBH,Q203552
ZBRA,Q96100712
ZION,Q8072576
ZTS,Q8073337
