r1,bridge,r2
P159,Q43668,P159
P159,Q44989,P159
P159,Q47265,P159
P159,Q485716,P159
P159,Q486860,P159
P159,Q49111,P159
P159,Q49169,P159
P159,Q49190,P159
P159,Q49202,P159
P159,Q49219,P159
P159,Q49238,P159
P159,Q5083,P159
P159,Q51690,P159
P159,Q54189,P159
P159,Q54217,P159
P159,Q575355,P159
P159,Q584451,P159
P159,Q60,P159
P159,Q605472,P159
P159,Q61,P159
P159,Q62,P159
P159,Q6346,P159
P159,Q642275,P159
P159,Q65,P159
P159,Q771,P159
P159,Q79867,P159
P159,Q84,P159
P159,Q8652,P159
P159,Q963138,P159
P159,Q975,P159
P159,Q988691,P159
P166,Q110530811,P166
P166,Q2586695,P166
P166,Q5300150,P166
P166,Q7618013,P166
P166,Q92429087,P166
P166,Q937629,P166
P169,Q1521908,P127
P169,Q181162,P127
P169,Q305177,P127
P169,Q312556,P127
P169,Q317521,P127
P169,Q319137,P127
P169,Q47213,P127
P169,Q4934,P127
P169,Q5284,P127
P169,Q7306657,P127
P169,Q18386868,P169
P169,Q267074,P169
P169,Q55174,P169
P169,Q1065665,P3320
P169,Q107769686,P3320
P169,Q109570254,P3320
P169,Q109775839,P3320
P169,Q1289900,P3320
P169,Q1392181,P3320
P169,Q1582880,P3320
P169,Q16148720,P3320
P169,Q16193174,P3320
P169,Q16193601,P3320
P169,Q16195693,P3320
P169,Q16196595,P3320
P169,Q1650162,P3320
P169,Q16727786,P3320
P169,Q16732385,P3320
P169,Q1806074,P3320
P169,Q18153753,P3320
P169,Q18207172,P3320
P169,Q18379146,P3320
P169,Q18386868,P3320
P169,Q18619565,P3320
P169,Q18630871,P3320
P169,Q18634617,P3320
P169,Q18748951,P3320
P169,Q18921712,P3320
P169,Q1900344,P3320
P169,Q19661212,P3320
P169,Q19837,P3320
P169,Q20631101,P3320
P169,Q20687650,P3320
P169,Q20857886,P3320
P169,Q21041473,P3320
P169,Q21551443,P3320
P169,Q21997525,P3320
P169,Q22279080,P3320
P169,Q23303128,P3320
P169,Q25141716,P3320
P169,Q2622748,P3320
P169,Q264913,P3320
P169,Q265852,P3320
P169,Q267074,P3320
P169,Q2745626,P3320
P169,Q27735066,P3320
P169,Q27839505,P3320
P169,Q28018191,P3320
P169,Q28501080,P3320
P169,Q28920824,P3320
P169,Q28922190,P3320
P169,Q29641838,P3320
P169,Q31202127,P3320
P169,Q312556,P3320
P169,Q317521,P3320
P169,Q321698,P3320
P169,Q337024,P3320
P169,Q344045,P3320
P169,Q348874,P3320
P169,Q3503829,P3320
P169,Q369783,P3320
P169,Q4117176,P3320
P169,Q41812531,P3320
P169,Q47213,P3320
P169,Q48562446,P3320
P169,Q4934,P3320
P169,Q4953889,P3320
P169,Q4964404,P3320
P169,Q4970379,P3320
P169,Q49971,P3320
P169,Q5044471,P3320
P169,Q51841506,P3320
P169,Q5188669,P3320
P169,Q5214356,P3320
P169,Q52272598,P3320
P169,Q5232041,P3320
P169,Q5257725,P3320
P169,Q5284,P3320
P169,Q532423,P3320
P169,Q5483294,P3320
P169,Q5517112,P3320
P169,Q55174,P3320
P169,Q55196710,P3320
P169,Q5590777,P3320
P169,Q56042353,P3320
P169,Q56868014,P3320
P169,Q5982101,P3320
P169,Q60445729,P3320
P169,Q6128032,P3320
P169,Q6140775,P3320
P169,Q61985799,P3320
P169,Q63400080,P3320
P169,Q63410046,P3320
P169,Q63975443,P3320
P169,Q6779013,P3320
P169,Q6832018,P3320
P169,Q713588,P3320
P169,Q7143480,P3320
P169,Q7306657,P3320
P169,Q73426541,P3320
P169,Q7384237,P3320
P169,Q7426870,P3320
P169,Q7436228,P3320
P169,Q7609568,P3320
P169,Q7615193,P3320
P169,Q7791054,P3320
P169,Q7791174,P3320
P169,Q83780224,P3320
P169,Q84053114,P3320
P169,Q86408516,P3320
P169,Q912811,P3320
P169,Q922169,P3320
P169,Q95569597,P3320
P169,Q96775410,P3320
P17,Q27,P159
P17,Q30,P159
P1830,Q192314,P127
P1830,Q219635,P127
P1830,Q3295867,P127
P1830,Q334204,P127
P1830,Q54173,P127
